Learner g,Learner m,Score,Approach,level,Coverage,CI Length,Bias,repetition
LassoCV,LassoCV,partialling out,wg_approx,0.95,0.94,0.0820800256494147,0.015753922092875072,100
LassoCV,RF Regr.,IV-type,cre_general,0.9,0.87,0.063427748689378,0.016360020449820684,100
LassoCV,RF Regr.,IV-type,cre_general,0.95,0.89,0.07557882416689116,0.016360020449820684,100
LassoCV,RF Regr.,IV-type,cre_normal,0.9,0.15,0.0875082261853324,0.07259188695606707,100
LassoCV,RF Regr.,IV-type,cre_normal,0.95,0.26,0.10427248289084172,0.07259188695606707,100
LassoCV,RF Regr.,IV-type,fd_exact,0.9,0.24,0.05940304754467235,0.046424969266456985,100
LassoCV,RF Regr.,IV-type,fd_exact,0.95,0.31,0.07078309695876256,0.046424969266456985,100
LassoCV,RF Regr.,IV-type,wg_approx,0.9,0.83,0.06324687203517945,0.015898907196209247,100
LassoCV,RF Regr.,IV-type,wg_approx,0.95,0.9,0.07536329633993775,0.015898907196209247,100
LassoCV,RF Regr.,partialling out,cre_general,0.9,0.1,0.0662836421225766,0.05419672745286945,100
LassoCV,RF Regr.,partialling out,cre_general,0.95,0.2,0.07898183108558451,0.05419672745286945,100
LassoCV,RF Regr.,partialling out,cre_normal,0.9,0.8,0.11775140213448282,0.03696953940696344,100
LassoCV,RF Regr.,partialling out,cre_normal,0.95,0.88,0.1403094497474626,0.03696953940696344,100
LassoCV,RF Regr.,partialling out,fd_exact,0.9,0.0,0.07167176534213965,0.13858159828069488,100
LassoCV,RF Regr.,partialling out,fd_exact,0.95,0.0,0.08540217590020496,0.13858159828069488,100
LassoCV,RF Regr.,partialling out,wg_approx,0.9,0.33,0.06651972180573086,0.04054256033746144,100
LassoCV,RF Regr.,partialling out,wg_approx,0.95,0.47,0.0792631373786688,0.04054256033746144,100
RF Regr.,LassoCV,IV-type,cre_general,0.9,0.84,0.06731805601499356,0.018440143152441246,100
RF Regr.,LassoCV,IV-type,cre_general,0.95,0.88,0.08021441126234022,0.018440143152441246,100
RF Regr.,LassoCV,IV-type,cre_normal,0.9,0.91,0.07296368195845183,0.016617103105959666,100
RF Regr.,LassoCV,IV-type,cre_normal,0.95,0.92,0.08694158949756786,0.016617103105959666,100
RF Regr.,LassoCV,IV-type,fd_exact,0.9,0.79,0.09326073010447117,0.02542441248522852,100
RF Regr.,LassoCV,IV-type,fd_exact,0.95,0.93,0.11112701408905766,0.02542441248522852,100
RF Regr.,LassoCV,IV-type,wg_approx,0.9,0.87,0.06950553766794654,0.01588666162575094,100
RF Regr.,LassoCV,IV-type,wg_approx,0.95,0.93,0.08282095642014621,0.01588666162575094,100
RF Regr.,LassoCV,partialling out,cre_general,0.9,0.86,0.07741195562828165,0.01982281120433611,100
RF Regr.,LassoCV,partialling out,cre_general,0.95,0.92,0.09224203449971849,0.01982281120433611,100
RF Regr.,LassoCV,partialling out,cre_normal,0.9,0.88,0.0781718182813771,0.019678622679720436,100
RF Regr.,LassoCV,partialling out,cre_normal,0.95,0.93,0.09314746669676108,0.019678622679720436,100
RF Regr.,LassoCV,partialling out,fd_exact,0.9,0.83,0.11548693628175762,0.02877950068391491,100
RF Regr.,LassoCV,partialling out,fd_exact,0.95,0.93,0.13761117225769717,0.02877950068391491,100
RF Regr.,LassoCV,partialling out,wg_approx,0.9,0.85,0.07543409059934668,0.01718244028421878,100
RF Regr.,LassoCV,partialling out,wg_approx,0.95,0.91,0.08988526295514129,0.01718244028421878,100
RF Regr.,RF Regr.,IV-type,cre_general,0.9,0.1,0.06987715684699204,0.06514036136312265,100
RF Regr.,RF Regr.,IV-type,cre_general,0.95,0.14,0.08326376798401978,0.06514036136312265,100
RF Regr.,RF Regr.,IV-type,cre_normal,0.9,0.04,0.09171285099948878,0.10869001408855256,100
RF Regr.,RF Regr.,IV-type,cre_normal,0.95,0.04,0.10928260237455742,0.10869001408855256,100
RF Regr.,RF Regr.,IV-type,fd_exact,0.9,0.0,0.07150977117827961,0.26114872821547735,100
RF Regr.,RF Regr.,IV-type,fd_exact,0.95,0.0,0.08520914794825293,0.26114872821547735,100
RF Regr.,RF Regr.,IV-type,wg_approx,0.9,0.13,0.0686128585359986,0.05618482624012591,100
RF Regr.,RF Regr.,IV-type,wg_approx,0.95,0.2,0.08175726362724335,0.05618482624012591,100
RF Regr.,RF Regr.,partialling out,cre_general,0.9,0.1,0.07231527224572468,0.062450994369805814,100
RF Regr.,RF Regr.,partialling out,cre_general,0.95,0.16,0.08616896167017474,0.062450994369805814,100
RF Regr.,RF Regr.,partialling out,cre_normal,0.9,0.17,0.12352151933218738,0.09185302990567756,100
RF Regr.,RF Regr.,partialling out,cre_normal,0.95,0.22,0.14718496846157234,0.09185302990567756,100
RF Regr.,RF Regr.,partialling out,fd_exact,0.9,0.0,0.08475585681151454,0.28050869887372326,100
RF Regr.,RF Regr.,partialling out,fd_exact,0.95,0.0,0.10099283249737045,0.28050869887372326,100
RF Regr.,RF Regr.,partialling out,wg_approx,0.9,0.13,0.072067489649116,0.05947757489790515,100
RF Regr.,RF Regr.,partialling out,wg_approx,0.95,0.22,0.08587371049560737,0.05947757489790515,100
